소재지전체주소,사업장명
서울특별시 종로구 동숭동 1-114번지 (3층) ,아맛나슈퍼 이구포차 마로니에
서울특별시 종로구 종로5가 246-2번지 ,해뜰날 포장마차
서울특별시 종로구 청진동 191-2번지 ,감투치킨
서울특별시 종로구 종로5가 332-14번지 ,힐
서울특별시 종로구 동숭동 1-100번지 3층 ,명가 교동 짬뽕
서울특별시 종로구 숭인동 396번지 ,쭌이생호프
서울특별시 종로구 숭인동 390-1번지 ,산채만두전문점
서울특별시 종로구 낙원동 202번지 ,둘둘치킨
서울특별시 종로구 명륜2가 21-26번지 ,인정국물떡볶이
서울특별시 종로구 창신동 80-3번지 ,별난청춘포차
서울특별시 종로구 와룡동 173 1층 ,트라타(TRATAR)
서울특별시 종로구 교남동 45-2 1층 ,모두랑
서울특별시 종로구 숭인동 1399번지 지상2층 ,어른이대공원
서울특별시 종로구 동숭동 1-27번지 ,대학로덮밥 최군비어
서울특별시 종로구 구기동 110-7번지 지상2층 ,광
서울특별시 종로구 낙원동 218-1번지 지상4층 ,블러드.지(Blood.G)
서울특별시 종로구 동숭동 1-78번지 지상5층 ,8[pal](팔) Ⅶ
서울특별시 종로구 낙원동 159번지 (지상4층) ,루트
서울특별시 종로구 낙원동 161번지 (지하1층) ,휘
서울특별시 종로구 낙원동 150-1번지 파고다빌딩 1층 ,네네치킨
서울특별시 종로구 묘동 149-1 태종빌딩 ,밍글
서울특별시 종로구 관철동 14-3번지 지하1층 ,달려라 봉쥬비어
서울특별시 종로구 체부동 190번지 ,더밴드(The Band)
서울특별시 종로구 낙원동 136번지 (지상1층) ,만남
서울특별시 종로구 숭인동 759번지 1층 ,언니네 포차
서울특별시 종로구 관수동 89번지 지상 2층 ,라인강
서울특별시 종로구 숭인동 177-2번지 ,맥주창고
서울특별시 종로구 통의동 49-1번지 ,서촌시민상회 팔공티 서촌닭강정 공장
서울특별시 종로구 창신동 392-1번지 ,좌절금지
서울특별시 종로구 관수동 68번지 지상2층 ,계동치킨
서울특별시 종로구 돈의동 160번지 ,님과 함께
서울특별시 종로구 관철동 12-2번지 5층 ,딴따라 포차
서울특별시 종로구 명륜4가 8-1번지 ,카페 데 코믹스
서울특별시 종로구 홍지동 46-1번지 지상1층 ,화수미
서울특별시 종로구 내수동 95번지 ,네네치킨 광화문점
서울특별시 종로구 무악동 89 경희궁 롯데캐슬 ,돈박
서울특별시 종로구 관훈동 198-11번지 (지상1층) ,썬비
서울특별시 종로구 평창동 195-1번지 ,위드치킨
서울특별시 종로구 명륜2가 115-2번지 ,할매순대국
서울특별시 종로구 평창동 301-1번지 ,평창동 STORY(스토리)
서울특별시 종로구 낙원동 121-1 지상1층 ,익선. 을지로골뱅이
서울특별시 종로구 돈의동 34번지 ,빈티지(VINTAGE)
서울특별시 종로구 창신동 676-1번지 ,서기맥주 동대문점
서울특별시 종로구 교남동 96번지 ,닭어사엔 못말리는 파닭
서울특별시 종로구 동숭동 25-5번지 ,깐부치킨
서울특별시 종로구 창신동 17-12번지 지상1층 ,썬더치킨
서울특별시 종로구 관철동 45-2번지 ,야후커피호프
서울특별시 종로구 행촌동 171-176 ,처갓집양념치킨 독립문점
서울특별시 종로구 무악동 46번지 경희궁 롯데캐슬 ,썬더치킨 독립문점
서울특별시 종로구 창신동 391-6 ,계
서울특별시 종로구 관철동 18-8번지 ,라스베가스
서울특별시 종로구 홍파동 199번지 경희궁자이 2단지 ,독립문 푸라닭
서울특별시 종로구 관철동 12-16번지 ,종로abc
서울특별시 종로구 관수동 26번지 ,오븐에 빠진 닭(종로3가점)
서울특별시 종로구 창신동 651-26번지 ,가마치통닭
서울특별시 종로구 낙원동 236-1번지 낙원빌딩 ,신 한국통닭
서울특별시 종로구 숭인동 296-21번지 ,호식이 두마리 치킨(숭인점)
서울특별시 종로구 관수동 161-12번지 지상1층 ,치킨N
서울특별시 종로구 도렴동 60번지 지하1층 16호호,꼬꼬 뚝 닭
서울특별시 종로구 낙원동 229번지 2층 ,골든
서울특별시 종로구 동숭동 1-92번지 (태원빌딩 3층) ,꾸미
서울특별시 종로구 낙원동 58-1번지 종로오피스텔 101~103호 ,모트세
서울특별시 종로구 관철동 10-23번지 1층 ,등촌샤브칼국수
서울특별시 종로구 동숭동 1-37번지 4층 ,대학로에 취하다
서울특별시 종로구 관철동 19-1번지 해덕빌딩 ,1943종각점
서울특별시 종로구 수송동 16-1 ,명가원
서울특별시 종로구 창신동 23-76번지 브라운스톤 창신 ,파파푸드 종로점
서울특별시 종로구 명륜4가 26번지 ,골목길25
서울특별시 종로구 창신동 81-9번지 ,호프47번가
서울특별시 종로구 신문로2가 25번지 ,서궁
서울특별시 종로구 창신동 23-76번지 브라운스톤 창신 ,또봉이통닭 창신역점
서울특별시 종로구 숭인동 326번지 이화장여관 ,브라이트 사이드(BRIGHT SIDE)
서울특별시 종로구 창신동 330-2 ,굽네치킨(동대문역점)
서울특별시 종로구 돈의동 46-1 ,인쌩맥주(익선점)
서울특별시 종로구 무악동 45-19 ,아백치킨
서울특별시 종로구 공평동 17번지 (지상2층) ,가연
서울특별시 종로구 관철동 13-1번지 (지상1층) ,유가네 닭갈비
서울특별시 종로구 당주동 171번지 (지상1층) ,오븐에 빠진닭
서울특별시 종로구 관철동 12-15번지 (3층) ,소소 종로점
서울특별시 종로구 창신동 138-89번지 지하1층 ,무공유통
서울특별시 종로구 종로5가 42-1 신화빌딩 ,체리호프
"서울특별시 종로구 창신동 176 1,2층 ",멕시카나 동대문역점
서울특별시 종로구 내자동 197 ,효도치킨 광화문점
서울특별시 종로구 창신동 581-21 ,이서진의 맛집
서울특별시 종로구 숭인동 72-86 ,문문
서울특별시 종로구 창신동 583-95번지 ,고흥식당
서울특별시 종로구 종로5가 249번지 ,한일당구장
서울특별시 종로구 창신동 438-14번지 ,바람난꼬꼬닭
서울특별시 종로구 숭인동 1263 수도회화전문확원 ,서기맥주
서울특별시 종로구 청진동 165-5번지 ,유선
서울특별시 종로구 관수동 21-2번지 ,하마
서울특별시 종로구 혜화동 89-1 ,이나살치킨
서울특별시 종로구 종로5가 398-16번지 ,청계천
서울특별시 종로구 명륜3가 1-215번지 ,비어닭컴
서울특별시 종로구 통의동 35-97번지 ,아카데미
서울특별시 종로구 창신동 433-1번지 ,동신
서울특별시 종로구 명륜2가 195-11번지 지상1층 ,펍라붐(PUB LABOUM)
서울특별시 종로구 관철동 10-2번지 ,쿠퍼스
서울특별시 종로구 사직동 217-1번지 ,현대
서울특별시 종로구 명륜2가 143-9번지 2층 ,청년곱창 198
서울특별시 종로구 돈의동 170-0번지 ,알콜뱅크
